fecha,location,vacunados
2021-02-18,Belgium,288811.0
2021-02-19,Belgium,302165.0
2021-02-20,Belgium,303785.0
2021-02-21,Belgium,304075.0
2021-02-22,Belgium,307049.0
2021-02-23,Belgium,315304.0
2021-02-24,Belgium,323736.0
2021-02-25,Belgium,333029.0
2021-02-26,Belgium,340036.0
2021-02-27,Belgium,340855.0
2021-02-28,Belgium,341128.0
2021-03-01,Belgium,343926.0
2021-03-02,Belgium,350858.0
2021-03-03,Belgium,357093.0
2021-03-04,Belgium,365956.0
2021-03-05,Belgium,372770.0
2021-03-06,Belgium,373428.0
2021-03-07,Belgium,373621.0
2021-03-08,Belgium,375634.0
2021-03-09,Belgium,383135.0
2021-03-10,Belgium,392407.0
2021-03-11,Belgium,402595.0
2021-03-12,Belgium,416357.0
2021-03-13,Belgium,418585.0
2021-03-14,Belgium,419883.0
2021-03-15,Belgium,424584.0
2021-03-16,Belgium,428872.0
2021-03-17,Belgium,437729.0
2021-03-18,Belgium,454712.0
2021-03-19,Belgium,473725.0
2021-03-20,Belgium,475328.0
2021-03-21,Belgium,475863.0
2021-03-22,Belgium,481273.0
2021-03-23,Belgium,487096.0
2021-03-24,Belgium,497751.0
2021-03-25,Belgium,517889.0
2021-03-26,Belgium,537738.0
2021-03-27,Belgium,541556.0
2021-03-28,Belgium,542529.0
2021-03-29,Belgium,547847.0
2021-03-30,Belgium,553640.0
2021-03-31,Belgium,565049.0
2021-04-01,Belgium,590050.0
2021-04-02,Belgium,609211.0
2021-04-03,Belgium,610665.0
2021-04-04,Belgium,610780.0
2021-04-05,Belgium,613298.0
2021-04-06,Belgium,622566.0
2021-04-07,Belgium,632496.0
2021-04-08,Belgium,649436.0
2021-04-09,Belgium,665453.0
2021-04-10,Belgium,669589.0
2021-04-11,Belgium,669980.0
2021-04-12,Belgium,679108.0
2021-04-13,Belgium,687619.0
2021-04-14,Belgium,712343.0
2021-04-15,Belgium,739096.0
2021-04-16,Belgium,756652.0
2021-04-17,Belgium,762495.0
2021-04-18,Belgium,762619.0
2021-04-19,Belgium,767069.0
2021-04-20,Belgium,770368.0
2021-04-21,Belgium,775012.0
2021-04-22,Belgium,781148.0
2021-04-23,Belgium,788452.0
2021-04-24,Belgium,790311.0
2021-04-25,Belgium,790367.0
2021-04-26,Belgium,797443.0
2021-04-27,Belgium,812164.0
2021-04-28,Belgium,827546.0
2021-04-29,Belgium,847499.0
2021-04-30,Belgium,870353.0
2021-05-01,Belgium,878482.0
2021-05-02,Belgium,878640.0
2021-05-03,Belgium,893772.0
2021-05-04,Belgium,912911.0
2021-05-05,Belgium,987322.0
2021-05-06,Belgium,1065657.0
2021-05-07,Belgium,1125069.0
2021-05-08,Belgium,1136521.0
2021-05-09,Belgium,1136683.0
2021-05-10,Belgium,1142760.0
2021-05-11,Belgium,1154082.0
2021-05-12,Belgium,1183742.0
2021-05-13,Belgium,1264641.0
2021-05-14,Belgium,1369020.0
2021-05-15,Belgium,1424547.0
2021-05-16,Belgium,1428430.0
2021-05-17,Belgium,1454493.0
2021-05-18,Belgium,1488421.0
2021-05-19,Belgium,1556067.0
2021-05-20,Belgium,1639251.0
2021-05-21,Belgium,1701454.0
2021-05-22,Belgium,1746829.0
2021-05-23,Belgium,1749658.0
2021-05-24,Belgium,1786320.0
2021-05-25,Belgium,1833632.0
2021-05-26,Belgium,1925687.0
2021-05-27,Belgium,2028952.0
2021-05-28,Belgium,2106328.0
2021-05-29,Belgium,2156763.0
2021-05-30,Belgium,2164000.0
2021-05-31,Belgium,2221859.0
2021-06-01,Belgium,2269956.0
2021-06-02,Belgium,2360554.0
2021-06-03,Belgium,2458138.0
2021-06-04,Belgium,2532253.0
2021-06-05,Belgium,2584023.0
2021-06-06,Belgium,2589983.0
2021-06-07,Belgium,2669618.0
2021-06-08,Belgium,2750655.0
2021-06-09,Belgium,2860568.0
2021-06-10,Belgium,2978854.0
2021-06-11,Belgium,3089228.0
2021-06-12,Belgium,3160812.0
2021-06-13,Belgium,3169498.0
2021-06-14,Belgium,3258558.0
2021-06-15,Belgium,3342148.0
2021-06-16,Belgium,3421242.0
2021-06-17,Belgium,3477687.0
2021-06-18,Belgium,3537691.0
2021-06-19,Belgium,3569749.0
2021-06-20,Belgium,3571662.0
2021-06-21,Belgium,3610431.0
2021-06-22,Belgium,3666516.0
2021-06-23,Belgium,3730948.0
2021-06-24,Belgium,3792155.0
2021-06-25,Belgium,3844362.0
2021-06-26,Belgium,3894535.0
2021-06-27,Belgium,3901530.0
2021-06-28,Belgium,3957114.0
2021-06-29,Belgium,4026454.0
2021-06-30,Belgium,4073263.0
2021-07-01,Belgium,4122397.0
2021-07-02,Belgium,4163897.0
2021-07-03,Belgium,4216240.0
2021-07-04,Belgium,4223134.0
2021-07-05,Belgium,4322343.0
2021-07-06,Belgium,4417528.0
2021-07-07,Belgium,4540939.0
2021-07-08,Belgium,4672596.0
2021-07-09,Belgium,4786674.0
2021-07-10,Belgium,4897195.0
2021-07-11,Belgium,4924249.0
2021-07-12,Belgium,5047419.0
2021-07-13,Belgium,5141467.0
2021-07-14,Belgium,5257125.0
2021-07-15,Belgium,5364157.0
2021-07-16,Belgium,5475007.0
2021-07-17,Belgium,5559912.0
2021-07-18,Belgium,5571872.0
2021-07-19,Belgium,5682010.0
2021-07-20,Belgium,5779800.0
2021-07-21,Belgium,5867801.0
2021-07-22,Belgium,6026789.0
2021-07-23,Belgium,6167806.0
2021-07-24,Belgium,6250490.0
2021-07-25,Belgium,6263151.0
2021-07-26,Belgium,6361622.0
2021-07-27,Belgium,6451961.0
2021-07-28,Belgium,6582937.0
2021-07-29,Belgium,6707514.0
2021-07-30,Belgium,6825433.0
2021-07-31,Belgium,6896178.0
2021-08-01,Belgium,6906266.0
2021-08-02,Belgium,6993851.0
2021-08-03,Belgium,7065836.0
2021-08-04,Belgium,7152826.0
2021-08-05,Belgium,7244288.0
2021-08-06,Belgium,7332052.0
2021-08-07,Belgium,7370699.0
2021-08-08,Belgium,7375914.0
2021-08-09,Belgium,7428509.0
2021-08-10,Belgium,7494272.0
2021-08-11,Belgium,7556187.0
2021-08-12,Belgium,7616624.0
2021-08-13,Belgium,7664439.0
2021-08-14,Belgium,7685835.0
2021-08-15,Belgium,7687515.0
2021-08-16,Belgium,7720073.0
2021-08-17,Belgium,7755247.0
2021-08-18,Belgium,7796521.0
2021-08-19,Belgium,7836667.0
2021-08-20,Belgium,7870990.0
2021-08-21,Belgium,7889455.0
2021-08-22,Belgium,7892288.0
