date,location,people_fully_vaccinated
2021-08-23,Belgium,7924888.0
2021-08-24,Belgium,7957817.0
2021-08-25,Belgium,7992382.0
2021-08-26,Belgium,8031678.0
2021-08-27,Belgium,8064581.0
2021-08-28,Belgium,8092484.0
2021-08-29,Belgium,8093773.0
2021-08-30,Belgium,8120199.0
2021-08-31,Belgium,8149703.0
2021-09-01,Belgium,8165235.0
2021-09-02,Belgium,8176749.0
2021-09-03,Belgium,8194556.0
2021-09-04,Belgium,8214988.0
2021-09-05,Belgium,8215354.0
2021-09-06,Belgium,8219231.0
2021-09-07,Belgium,8225703.0
2021-09-08,Belgium,8242415.0
2021-09-09,Belgium,8250138.0
2021-09-10,Belgium,8261405.0
2021-09-11,Belgium,8275853.0
2021-09-12,Belgium,8276609.0
2021-09-13,Belgium,8282551.0
2021-09-14,Belgium,8285722.0
2021-09-15,Belgium,8296625.0
2021-09-16,Belgium,8305601.0
2021-09-17,Belgium,8315837.0
2021-09-18,Belgium,8329959.0
2021-09-19,Belgium,8330122.0
2021-09-20,Belgium,8333556.0
2021-09-21,Belgium,8339974.0
2021-09-22,Belgium,8350918.0
2021-09-23,Belgium,8357925.0
2021-09-24,Belgium,8363745.0
2021-09-25,Belgium,8376419.0
2021-09-26,Belgium,8376853.0
2020-12-14,Canada,8376853.0
2020-12-15,Canada,8376853.0
2020-12-16,Canada,8376853.0
2020-12-17,Canada,8376853.0
2020-12-18,Canada,8376853.0
2020-12-19,Canada,8376853.0
2020-12-20,Canada,8376853.0
2020-12-21,Canada,8376853.0
2020-12-22,Canada,8376853.0
2020-12-23,Canada,8376853.0
2020-12-24,Canada,8376853.0
2020-12-25,Canada,8376853.0
2020-12-26,Canada,8376853.0
2020-12-27,Canada,8376853.0
2020-12-28,Canada,8376853.0
2020-12-29,Canada,8376853.0
2020-12-30,Canada,8376853.0
2020-12-31,Canada,8376853.0
2021-01-01,Canada,8376853.0
2021-01-02,Canada,8376853.0
2021-01-03,Canada,8376853.0
2021-01-04,Canada,8376853.0
2021-01-05,Canada,8376853.0
2021-01-06,Canada,430.0
2021-01-07,Canada,1087.0
2021-01-08,Canada,2027.0
2021-01-09,Canada,2940.0
2021-01-10,Canada,2942.0
2021-01-11,Canada,2942.0
2021-01-12,Canada,4177.0
2021-01-13,Canada,13085.0
2021-01-14,Canada,15646.0
2021-01-15,Canada,19148.0
2021-01-16,Canada,20268.0
2021-01-17,Canada,21458.0
2021-01-18,Canada,22188.0
2021-01-19,Canada,24385.0
2021-01-20,Canada,37048.0
2021-01-21,Canada,43252.0
2021-01-22,Canada,49491.0
2021-01-23,Canada,53804.0
2021-01-24,Canada,56441.0
2021-01-25,Canada,64653.0
2021-01-26,Canada,72811.0
2021-01-27,Canada,82196.0
2021-01-28,Canada,91944.0
2021-01-29,Canada,101175.0
2021-01-30,Canada,109501.0
2021-01-31,Canada,111890.0
2021-02-01,Canada,116317.0
2021-02-02,Canada,121087.0
2021-02-03,Canada,130133.0
2021-02-04,Canada,142437.0
2021-02-05,Canada,155503.0
2021-02-06,Canada,168987.0
2021-02-07,Canada,176584.0
2021-02-08,Canada,187434.0
2021-02-09,Canada,204059.0
2021-02-10,Canada,223991.0
2021-02-11,Canada,244100.0
2021-02-12,Canada,266826.0
2021-02-13,Canada,287470.0
2021-02-14,Canada,301732.0
2021-02-15,Canada,309982.0
2021-02-16,Canada,327770.0
2021-02-17,Canada,343423.0
2021-02-18,Canada,363132.0
2021-02-19,Canada,387694.0
2021-02-20,Canada,404466.0
2021-02-21,Canada,417478.0
2021-02-22,Canada,449546.0
2021-02-23,Canada,467772.0
2021-02-24,Canada,482047.0
2021-02-25,Canada,498860.0
2021-02-26,Canada,511975.0
2021-02-27,Canada,519782.0
2021-02-28,Canada,525025.0
2021-03-01,Canada,538239.0
2021-03-02,Canada,548204.0
2021-03-03,Canada,554427.0
2021-03-04,Canada,558882.0
2021-03-05,Canada,561971.0
2021-03-06,Canada,564217.0
